,text,sad-watson,joy-watson,fear-watson,disgust-watson,anger-watson,sentiment-watson
84,Do you know that most of the girls behind these ads are doing so against their will and many are minors?,0.118752,0.064529,0.122461,0.565425,0.199952,-0.838009
85,sorry i m in mid of finishing,0.64872,0.049692,0.240076,0.072583,0.038999,-0.926943
86,If it were just a physical need you'd be able to take care of it yourself. So I think there's more to it than that.,0.200296,0.127087,0.079566,0.047775,0.057859,0.525052
87,giv me a call? :D,0.009399,0.843014,0.005147,0.008023,0.032679,0.0
88,in / out hr/hhr?,0.303066,0.141241,0.055752,0.041825,0.381481,0.0
89,give me a call,0.0,0.0,0.0,0.0,0.0,0.0
90,"sir, you were asking for rates",0.274094,0.164959,0.092191,0.184447,0.068344,0.0
91,Yeah been doing this for awhile. Did you know is another source of satisfaction in life apart from sex on the side?,0.147373,0.556044,0.07273,0.123581,0.078955,0.842386
92,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
93,still there?,0.0,0.0,0.0,0.0,0.0,0.0
94,whatcha lookin to do,0.151545,0.175795,0.122409,0.068043,0.08686,0.909062
95,thank you -bye Chris,0.029058,0.665476,0.015432,0.048988,0.03313,0.929246
96,"Plus, you have to be careful that you're not talking to a cop or something. I'm not a cop by the way.",0.126687,0.109204,0.250498,0.312637,0.259259,-0.671632
97,Please look at www.sa.org/f2f/united-states-of-america/kansas/. ,0.102348,0.110481,0.101216,0.080108,0.045156,0.0
98,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
99,"Good evening, you reached out to one of our prostitution ads back in September. Just wanted to check in and see how you were doing and if you've had the compulsion to buy since then?",0.216317,0.129565,0.014056,0.047959,0.074178,-0.697093
100,call me up ,0.0,0.0,0.0,0.0,0.0,0.0
101,pics r on my ad,0.061981,0.170995,0.035588,0.317355,0.173798,0.0
102,call me to set somthing up,0.148001,0.119701,0.041797,0.014098,0.190566,0.0
103,So this isn't actually Alexa.\n I’m working with a bunch of guys who are trying to interrupt demandfor victims of trafficking and I’m wondering if you would be willing to help us out?,0.401211,0.127722,0.155133,0.255504,0.284473,-0.956175
104,hey are you going to call or not,0.21966,0.176361,0.109583,0.067684,0.117259,0.0
105,Please look at sa-detroit.com. Please see women as humans not objects for sale. You can do this.,0.21406,0.103003,0.131382,0.075834,0.030443,0.0
106,How long? what do u have in mind?,0.202261,0.118723,0.091805,0.070695,0.109063,0.0
107,free in a bit U?,0.337297,0.205009,0.208755,0.0714,0.099194,0.0
108,Does any of this bother you as much as it does me?,0.208563,0.020746,0.149565,0.087145,0.769271,-0.742883
109,Still with me? Did you miss the cooperation portion above perhaps?,0.699065,0.009698,0.293614,0.055928,0.143429,-0.702343
110,Hahaha sorry I was away from my phone,0.299996,0.292733,0.465743,0.006645,0.002315,-0.916778
111,the phone call dropped ! call again :),0.124547,0.256586,0.301068,0.082689,0.112288,0.875666
112,how quick are we talking ;),0.038078,0.827184,0.025703,0.009764,0.024037,0.787697
113,why dont you call me and we can discuss,0.246712,0.079688,0.14665,0.175628,0.128981,-0.673515
114,call and i'll give you the details <3,0.017492,0.566645,0.011873,0.012841,0.032847,0.962187
115,I'm mobile,0.0,0.0,0.0,0.0,0.0,0.0
116,whatcha lookin 4  me cumming to u or u to me,0.151545,0.175795,0.122409,0.068043,0.08686,0.867481
117,where would we go,0.339603,0.090366,0.229081,0.072449,0.1095,0.0
118,"Not here to bust you, just help you: Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?",0.116693,0.010117,0.257322,0.576512,0.204572,-0.698057
119,wow...no hi or anything.   I am how u hon,0.183303,0.09029,0.127445,0.066232,0.123161,-0.317577
120,Hopefully you will take all this to heart and be a better man for it. Good evening.,0.115284,0.760138,0.037182,0.008007,0.011196,0.937426
121,im gourgeous,0.0,0.0,0.0,0.0,0.0,0.0
122,are you aware of that?,0.0,0.0,0.0,0.0,0.0,0.0
123,I'll send you some stuff but want to send you some relevant stuff. ,0.164987,0.105477,0.11735,0.074671,0.114118,0.754903
124,Wow u r brave...lots of scary girls on here. Luckily I'm NOT one of them:) ,0.009618,0.769881,0.237781,0.018331,0.003614,0.684483
125,"Yeah, it really, really does some times.",0.457048,0.438919,0.042035,0.094941,0.036523,0.833965
126,hey baby,0.0,0.0,0.0,0.0,0.0,0.0
127,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
128,So what are you looking for that a robot cannot provide?,0.061322,0.297014,0.036375,0.105032,0.029382,-0.681874
129,cool. i love to travel,0.017451,0.909664,0.006823,0.010072,0.013518,0.992743
130,I am not a cop.,0.164527,0.151539,0.102866,0.072571,0.090183,-0.793249
131,"many of them are being trafficked, and it's because guys like you are willing to pay to have sex with them. ",0.216427,0.278925,0.034669,0.180308,0.303057,0.386664
132,Nope... \nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.172101,0.011408,0.222825,0.614328,0.154564,-0.379621
133,hey baby,0.0,0.0,0.0,0.0,0.0,0.0
134,"Thanks, have a good night.",0.015519,0.726956,0.010434,0.013234,0.007478,0.989505
135,you still there?,0.916667,0.0,0.931034,0.0,0.0,0.0
136,gimme a call,0.0,0.0,0.0,0.0,0.0,0.0
137,still interested ?,0.112847,0.367771,0.038122,0.112759,0.072261,0.0
138,You are better than this!,0.0,0.851351,0.0,0.0,0.0,0.621611
139,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.,0.217796,0.027592,0.248238,0.530015,0.202949,0.0
140,One last thing. Please consider checking out an SAA group in your area. https://saa-recovery.org/\n\nYou were lucky you called me and not a cop.\n,0.147722,0.479718,0.094543,0.012482,0.045539,0.0
141,you looking for lacy?,0.062632,0.291267,0.037199,0.103681,0.028298,0.0
142,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
143,"Typically, the average age of entry is 12-14 years old. And there is no way to know whether she's there of her own free will",0.039494,0.135919,0.161072,0.030744,0.053434,0.0
144,r u lookin for fs?,0.140657,0.113121,0.128839,0.077594,0.10245,0.0
145,I like fun... ??  give me shout,0.033018,0.743872,0.019583,0.047838,0.122606,0.887186
146,I hear ya. i\n could use some myself,0.108892,0.17688,0.183475,0.07615,0.089337,0.822902
147,They don't get to keep the money you know?,0.262779,0.107818,0.115532,0.207055,0.265414,0.0
148,wat u want,0.0,0.0,0.0,0.0,0.0,0.0
149,awesome. are you aware that buying sex is illegal?,0.037403,0.113965,0.031702,0.606254,0.058857,-0.503173
150,hey,0.0,0.0,0.0,0.0,0.0,0.0
151,make sense?,0.0,0.0,0.0,0.0,0.0,0.0
152,hello...again lol!,0.0,1.0,0.0,0.0,0.0,0.767617
153,gimme a call :),0.0,0.0,0.0,0.0,0.0,0.0
154,So you wield your money as power? As a means of control?\n ,0.124211,0.043548,0.165036,0.196913,0.193022,0.0
155,"Good stuff.  Anyway, I have to go.  It was good speaking with you and I hope you have an amazing rest of your weekend!",0.048658,0.886476,0.043524,0.006565,0.017065,0.98177
156,sure thing babe. you got roses?,0.112838,0.653032,0.124238,0.033625,0.09216,0.589963
157,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
158,please give me more than ????? ,0.095041,0.006949,0.105194,0.114561,0.189514,0.0
159,still there?,0.0,0.0,0.0,0.0,0.0,0.0
160,be careful texting while you drive dude :),0.01966,0.550805,0.034629,0.023266,0.104005,0.858908
161,i am ,0.0,0.0,0.0,0.0,0.0,0.0
162,I want to assist you to be a better man. Do you have friends and family you can get support from?,0.142209,0.461869,0.034379,0.059032,0.085324,0.0
163,???,0.0,0.0,0.0,0.0,0.0,0.0
164,well thanks! what are you looking for tonight? ;),0.017841,0.814741,0.024449,0.00803,0.010229,0.957847
165,works just fine. what you looking for?,0.159599,0.373633,0.049352,0.047386,0.038173,0.628861
166,incall/outcall?,0.130213,0.099831,0.093534,0.066883,0.088116,0.0
167,"yep, what you looking for tonight",0.138039,0.60999,0.067131,0.030967,0.002396,0.0
168,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.105736,0.013966,0.234844,0.584276,0.141328,-0.783715
169,"Hey Vince, you particularly like car play?  What's in it for me?",0.099048,0.099935,0.170102,0.271813,0.289477,-0.571717
170,near the airport,0.386096,0.0558,0.247562,0.071491,0.231646,0.0
171,"nothing about the ad you responded to was about food man, don't kid yourself",0.152955,0.098389,0.111894,0.282857,0.17557,-0.877505
172,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
173,wat u lookin for?,0.117838,0.222795,0.23326,0.12768,0.073335,0.0
174,near the airport; $90 hhr,0.361966,0.051878,0.235175,0.058853,0.206978,0.0
175,"If I sent you this thing that I think has been helpful at showing people what life is really like for me, would you look at it?",0.190095,0.599367,0.039321,0.06819,0.139243,0.831533
176,do you want everlasting joy?,0.008458,0.880438,0.004694,0.006257,0.04615,0.466485
177,I'm happy to hear that.,0.007584,0.544673,0.006859,0.006937,0.003206,0.982749
178,I've got to go... I'm sorry.,0.398744,0.012908,0.408158,0.044964,0.060049,-0.890441
179,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",0.586709,0.08959,0.169384,0.23854,0.148083,-0.797788
180,hey! what were you looking for?,0.054435,0.277144,0.038047,0.071289,0.060543,0.0
181,what did you want?,0.916667,0.0,0.0,0.0,0.0,0.0
182,u there?,0.0,0.0,0.0,0.0,0.0,0.0
183,hi,0.0,0.0,0.0,0.0,0.0,0.0
184,fs?,0.0,0.0,0.0,0.0,0.0,0.0
185,What you sellin?,0.0,0.0,0.0,0.0,0.0,0.0
186,Wait is that your name?,0.167535,0.040895,0.114637,0.068878,0.284609,0.0
187,Hii =) ,0.0,0.0,0.0,0.0,0.0,0.0
188,where u at? what wud u like?,0.14016,0.128198,0.096649,0.118518,0.128181,0.0
189,"dont care about that, i care about you. ",0.570475,0.215008,0.013337,0.048294,0.16911,-0.60283
190,do you believe in someone/something?,0.181112,0.274055,0.088365,0.141288,0.219656,0.0
191,"Well Kirk, your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?\n",0.102105,0.025403,0.217117,0.59086,0.134534,-0.325541
192,looks like I scared you away.  Please think about what you are doing  - I know there's a good man in there,0.204026,0.042506,0.81625,0.034251,0.038026,-0.752513
193,Heyyy what's up?\n,0.126628,0.104384,0.090988,0.067536,0.090032,0.0
194,"Actually, you should know that I'm Mike. Stacy is not real. I work with some guys who are trying to interrupt demand for victims of trafficking.",0.485374,0.057134,0.091281,0.175205,0.401833,-0.874273
195,Where just trying to help guys stop making would could be a life altering huge mistake. What sex I am doesn't really matter.,0.444154,0.091404,0.168834,0.305895,0.266002,-0.957519
196,now,0.0,0.0,0.0,0.0,0.0,0.0
197,"Stay away from these ads, and have a great weekend!",0.104482,0.467186,0.062612,0.054214,0.052179,0.887734
198,Su número ahora está registrado intentando comprar sexo por la red y está disponible para seguimiento policial. Se han hecho arrestos. Se tomará en cuenta su cooperación.,0.0,0.0,0.0,0.0,0.0,-0.425015
199,we both know what you wanted in response to the ad.,0.117943,0.078754,0.043938,0.151342,0.164104,0.0
200,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.105736,0.013966,0.234844,0.584276,0.141328,-0.783715
201,100,0.0,0.0,0.0,0.0,0.0,0.0
202,what do you have in mind?,0.0,0.0,0.0,0.0,0.0,0.0
203,what u lookin for?,0.140657,0.113121,0.128839,0.077594,0.10245,0.0
204,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
205,"call me, we can talk bout it :)",0.117999,0.652683,0.064607,0.01207,0.070936,0.946312
206,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
207,What do you do for work?,0.0,0.0,0.0,0.0,0.0,0.0
208,hey,0.0,0.0,0.0,0.0,0.0,0.0
209,Hello! Available any time. ,0.131265,0.100216,0.027693,0.008096,0.043153,0.720455
210,hi there,0.0,0.0,0.0,0.0,0.0,0.0
211,srry. away from phone. Hi :),0.160405,0.475136,0.047816,0.031118,0.066662,0.354477
212,i em,0.0,0.0,0.0,0.0,0.0,0.0
213,hhr $70,0.0,0.0,0.0,0.0,0.0,0.0
214,"The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",0.084107,0.003624,0.490256,0.376196,0.455092,-0.790438
215,heyyy,0.0,0.0,0.0,0.0,0.0,0.0
216,so no?,0.0,0.0,0.0,0.0,0.0,0.0
217,"are you still there, or shall I mark you down as uncooperative?",0.403773,0.11757,0.078913,0.150622,0.249192,0.0
218,"If the demand for something ends, so will the supply. ",0.302997,0.145383,0.08282,0.028453,0.128119,0.621209
219,I'm not sure I'll be able to with the pimp.,0.049468,0.187657,0.035305,0.138224,0.333382,-0.743601
220,And remember any response will be noted.Ok please dont call these sites. Be a better man than those cretins abusing women. Good evening..,0.211692,0.497099,0.044595,0.220364,0.098562,-0.489902
221,do you really know what you're doing out here is my question,0.214526,0.129711,0.12898,0.137792,0.201146,0.0
222,hey,0.0,0.0,0.0,0.0,0.0,0.0
223,"These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",0.084754,0.001206,0.576232,0.34738,0.380817,-0.963601
224,hey,0.0,0.0,0.0,0.0,0.0,0.0
225,Si,0.0,0.0,0.0,0.0,0.0,0.0
226,let me know what u  really want? :),0.140104,0.232975,0.034135,0.019652,0.032735,0.0
227,whatevs,0.0,0.0,0.0,0.0,0.0,0.0
228,not interested in dinner...,0.045339,0.469072,0.037171,0.118738,0.056595,-0.684171
229,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",0.084107,0.003624,0.490256,0.376196,0.455092,-0.761636
230,"i ask you to read up on prostitution, human trafficking and how this ""job"" effects the women.  ",0.292104,0.163244,0.137842,0.319084,0.092215,-0.838702
231,Who's this?,0.0,0.0,0.0,0.0,0.0,0.0
232,Location near 22 & Hayes,0.094154,0.04089,0.075862,0.043625,0.054072,0.0
233,still there?,0.0,0.0,0.0,0.0,0.0,0.0
234,whats up,0.0,0.0,0.0,0.0,0.0,0.0
235,Well this isn't Jennifer.  But I was wondering if you'd be willing to have a quick conversation. ,0.139571,0.650872,0.044324,0.023929,0.04214,-0.497934
236,hey bby! how can i help u??,0.030669,0.238018,0.018775,0.004298,0.023253,0.0
237,"Never said you were.... \nIf you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",0.564571,0.101846,0.157874,0.212318,0.138115,-0.801881
238,You texted me.  I;m glad you reached out.  What brought you to look on these sites? I/m not here to judge,0.082961,0.157272,0.025447,0.046847,0.023205,-0.532226
239,well wut u lookin 4 tonight?,0.175777,0.358874,0.173804,0.046702,0.051004,0.0
240,where u at,0.0,0.0,0.0,0.0,0.0,0.0
241,in call or out?,0.0,0.0,0.0,0.0,0.0,0.0
242,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",0.586709,0.08959,0.169384,0.23854,0.148083,-0.797788
243,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
244,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
245,it's pretty good. how about you?,0.019437,0.915017,0.01012,0.009638,0.018554,0.888001
246,"Okay if I pray with you, too? What's your first name?",0.334507,0.039097,0.425646,0.205243,0.065544,0.0
247,Put your friend on then.,0.202302,0.410397,0.052994,0.176677,0.323305,0.0
248,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",0.084107,0.003624,0.490256,0.376196,0.455092,-0.761636
249,whre u,0.0,0.0,0.0,0.0,0.0,0.0
250,"I know the ads paint a very different picture, but what goes on behind the ads is very dark, can I tell you more about it?",0.192186,0.014445,0.394062,0.201019,0.221053,-0.551235
251,how long r u wanting?,0.39429,0.032071,0.091996,0.060735,0.108114,0.0
252,ok,0.0,0.0,0.0,0.0,0.0,0.0
253,depends how long,0.070206,0.350181,0.02748,0.012831,0.0424,0.0
254,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",0.586709,0.08959,0.169384,0.23854,0.148083,-0.797788
255,Haha...All of the Above!,0.0,0.0,0.0,0.0,0.0,0.93876
256,you got the roses?,0.132223,0.244542,0.24173,0.13217,0.133299,0.0
257,hey,0.0,0.0,0.0,0.0,0.0,0.0
258,"Hey, how it goin?",0.074621,0.154417,0.096748,0.055938,0.060702,0.0
259,"That sounds really difficult man. I'm sorry your in that situtation. When I surrendured my life to Jesus I experienced his unconditional love and forgiveness. Rebuilding relationships takes time, but I've seen it happen when guys go to rehab and start doing things God's way",0.552988,0.225475,0.165881,0.061834,0.193586,-0.532297
260,i am what are u lookin 4,0.151545,0.175795,0.122409,0.068043,0.08686,0.0
261,You still there,0.916667,0.0,0.931034,0.0,0.0,0.0
262,thats it?,0.0,0.0,0.0,0.0,0.0,0.0
263,"The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.",0.092813,0.010872,0.590039,0.225302,0.470399,-0.830463
264,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,0.109362,0.014925,0.22049,0.657885,0.154627,-0.387227
