,text
243,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
244,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
245,it's pretty good. how about you?
246,"Okay if I pray with you, too? What's your first name?"
247,Put your friend on then.
248,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
249,whre u
250,"I know the ads paint a very different picture, but what goes on behind the ads is very dark, can I tell you more about it?"
251,how long r u wanting?
252,ok
253,depends how long
254,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
255,Haha...All of the Above!
256,you got the roses?
257,hey
258,"Hey, how it goin?"
259,"That sounds really difficult man. I'm sorry your in that situtation. When I surrendured my life to Jesus I experienced his unconditional love and forgiveness. Rebuilding relationships takes time, but I've seen it happen when guys go to rehab and start doing things God's way"
260,i am what are u lookin 4
261,You still there
262,thats it?
263,"The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear."
264,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
265,Hey baby
266,Did you know that buying sex is illegal?
267,ah that's too bad. i'm just hoping to know how you are. we're judgement free.
268,Were you aware of that?
269,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
270,okay...where in Redford am I going?
271,hellllo
272,"So Brittany is not here right now, but I was wondering if you would be willing to have a conversation with me? It would really help me out!"
273,Stay with don't cut off this text - its important you stay with me
274,"The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
275,incall or outcall?
276,"The business of prostitution is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
277,what are u lookn 4
278,Wowwww. Bye.
279,Cost will be worth it...
280,I am glad to hjear that. Have a nice night.
281,what ya looking for?
282,"Look brother, I'm just asking you to consider that it might not be a good thing. Even it it were legal."
283,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
284,Hey! U still there?
285,"I'm not.  Not exactly what you expected, but I'm a guy trying to help out other guys.  Sorry to not be what you are looking for tonight."
286,"hey kevin, im doin great.  whatcha up to"
287,hi hunk
288,You too.Don't forget what a good man you are.
289,Maybe. What'd you have in mind?
290,im sure you dont.
291,"That's me, what's up?"
292,heyy how r u?
293,What exactly are you looking for?
294,Good night and God bless you
295,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.
296,yep
297,"With men buying women? Um, yes. Where else would it be?"
298,u didn't see my ad? howd you find my number?
299,"I'm up for it, U got roses?"
300,"no, just work is a lot more stressful wit everything"
301,hey
302,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
303,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
304,depends..what r u looking for?
305,I'm old enough to drink. ;)
306,where r u?
307,I'm done 
308,You still there?
309,full service?
310,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
311,Some as young as 12 years old!
312,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
313,haha sure :)
314,you speak of harassing
315,whats up
316,hey ??
317,That's how it is just about every single one of us.
318,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
319,no
320,how r u?
321,Eva is in the house
322,"so so good, what about you chief? :)"
323,call me back 
324,call me!
325,i can do whatever! 
326,Are you aware that many of the girls who get involved in prostitution are minors?
327,Choose real relationship.
328,hour of wut ??
329,I thought you were going to call
330,Sir It does not really matter because I am part of a group that is trying to interrupt the online sex business. I am going to send you some information to read.
331,"Sorry Babe, all cleaned up and ready for the evening! You still avail?"
332,"Listen man, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
333,We find that most guys don't know that online girls are trapped
334,u still there?
335,but where r u coming from?
336,wht u lookn 4? in or out?
337,?
338,got it
339,Everything could be expensive.... 
340,certainly
341,Hi
342,Really good! How can I help???
343,hey there!
344,Please look at www.slaadfw.org or www.valianthearts.org/conquerers/ for help. \n\nwww.ThinkTwiceTexas.com has great info to learn more about the exploitation of these girls.\n\nPlease see women as humans not objects for sale. You can do this. You are not alone.\n\nPlease see women as humans not objects for sale. You can do this.
345,So here's the deal Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\n\nAre you aware that many of the girls who get involved in prostitution are minors?
346,yes
347,is that your rate or mine?
348,"Sorry I was away for a sec, you still there?"
349,Are you interested in knowing how this works though? I can definitely give you an educational discount. ;)
350,They're being tricked and you can try to feel good about it but selling yourself every night to four or five men is no way for any one to live
351,"oh ok sorry, i dont manage all that..."
352,what can i do 4 u tonight?
353,"hey sorry, wasn't by my phone"
354,Best of luck moving forward
355,call me...  let's set it up ??
356,Heyyy
357,Are you aware that buying sex is illegal?
358,what you lookin for
359,hi there :)
360,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
361,hi there ;)
362,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
363,How do you know she's not being forced to do it?
364,u with me?
365,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
366,can i send you some ways to learn about the reality of what these girls go through?
367,what u lookin 4
368,whadsup
369,"The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
370,"you may think I'm messing with you, but I'm really not.  I'm trying to raise awareness that this business these ads are a front for human trafficking.   "
371,You are absolutely charming!  ??
372,It's a little scary with this whole COVID thing going on.
373,"ok, what else would you like?"
374,"Sorry man we got disconnected.  I know this isn't what you were expecting, but I've got some important things you should hear.  This business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\n"
375,im mobile
376,So your phone # has been added to our list but I was wondering if you'd be willing to have a quick conversation. Your cooperation will be very helpful.
377,i'm good sean
378,"of course, what do u have n mind"
379,"women don't become prostitutes because it sounds like a good career decision.  They often feel like they have no other choice, and sadly, there are men out there who are willing to pay for sex with them and that creates demand, which encourages pimps to recruit more and more girls to control."
380,Did you get a chance to read my last text about the legal penalties for getting busted?
381,well do u \nwant in or outcall 
382,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
383,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
384,"On my post, what website are you on?"
385,Hi what would like?
386,no free spank bank
387,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
388,"At a minimum, I'm assuming that you found this phone number in an ad with the following title:  ??Super Freak????Fetish Friendly????Classy and Nasty????Ready Now??"
389,"well if you were looking for something else  I wanted to let you know that  the ad you may/may not have saw and the site that it is on\n is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
390,you said you come across multiple women and none of them are minors. what do you mean?
391,Caring about other people is what's right.
392,Dave i hope you have a good night Please Please don't call any of these ads again.  You are a better man than this.  God Bless you.  Prayers for you
393,"Hey, how's it go'in"
394,"hey there! I'm doing great, thanks for asking :) how are you?"
395,Where r u?
396,What's your name?
397,definitely.
398,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
399,"Si te procesan, te enfrentas a multas costosas. Si la chica es menor de edad, las penas aumentan dramáticamente y pueden arruinar su vida. Es posible que también tenga que registrarse como delincuente sexual. Estas sanciones son para los infractores por primera vez. Si vuelves a responder a uno de estos anuncios, estas cosas podrían sucederte. \n\nEntiende señor?\nDo you understand sir?"
400,I really hope you have a good night... That you find true companionship and your cancer improves.
401,I can't wait to play  ??
402,"ok, well i could make it out there in like 45 min if that works?"
403,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?"
404,wht urlkn 4
405,no police
406,i want to be helpful
407,still interested ?
408,hey hey
409,Hi. 
410,ok were you aware of that ma'am?
411,Can I hear a little about you first?
412,God bless you!
413,Do you think you can stay in this conversation?
414,there is a better way. these adds are not the way to go. you should have a committed relationship with someone who cares about you
415,Please look at sa-detroit.com. Please see women as humans not objects for sale. You can do this. You are not alone.\n
416,I can be :) Call me
417,you responded to a sex add
418,I listen to First Wave on satellite radio all the time. It all 80's with an English DJ.
419,i thought you said you were married?
420,whats nuru
421,u ever do this b4?
422,that my king
423,"Are you still there? This business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?\n"
424,There are places that you can go to get help that are anonymous
425,"Yeah, this is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
426,You've attempted to buy sex on 19 different occasions and your number has been recorded each time.
427,What want?
428,hey there 
429,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
430,May I text you information on where to get anonymous help?
431,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
432,hey there
433,thart would be great
434,ups
435,the rest of us are a mess
436,it on the ad
437,you looking for angelica?
438,which sack?? ??
439,yeahh come on up!!
440,what u lookn 4
441,whuts on your mind
442,yes I am
443,ok
444,not exactly... 
445,what you are trying to do
446,moto city... out/in?
447,whatz ur pleasure hon?
448,i'm here :-)
449,English?
450,"When, what, where?"
451,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
452,call me!
453,"This kind of stuff seriously destroys us as men, and the people around us... especially our families."
454,yes
455,I would recommend a dating website over a website that encourages prostitution.
456,depends on what you want baby?? give me a call and we can figure it out
457,"well, what u want?"
458,"OK Matt, like I said, you sound like a nice guy so I'm going to go easy... "
459,can you call?
460,what do you really want to do
461,near airport
462,"Most guys haven't heard about this topic. They appear to be independent, but we spoken with survivors of trafficking and they are not getting paid"
463,what u lookin for?
464,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
465,"Hey Steve, are you still r"
466,call so we can talk
467,doin great..u?
468,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
469,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
470,"You sound like a good guy, I don't want you to walk into this. It's bad for you and for them"
471,nothin hard...just green
472,what happens at 10:00 PM
473,wat are u looking for?
474,"The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
475,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.
476,hello
477,pictures 
478,Really?>
479,BE CAREFUL stay off these sites.  We're not law enforcement but share info with them and they are out busting these places.
480,how r u sweety
481,come find me hun
482,"The business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
483,"It's incredibly destructive and ruins lives, including your own. I want something better than this for you"
484,no freebies tonite - what u lookin 4
485,May I text you information on where to get anonymous help?
486,just need to have an honest convo with you for a sec. your cooperation will be noted.
487,Hi friend. You may not know Candence but you have contacted this escort ad before right?
488,hey there honey
489,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
490,"Yeah, the business is set up to fool men into believing they’re doing something harmless, but it’s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?"
491,sorry?
492,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
493,"But by using their body, you are hurting them -- you are devaluing them as a human being."
494,heyyy ;)
495,that ok with u? 
496,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?\n
497,hello babe
498,Would you be open to receiving resources for sex addiction?
499,"yup, you've seen em in the ad"
500,hey boy nice ink!
501,How are you?
502,"slow night just lookin for some cheddar, u need services?"
503,u still there?
504,Are you aware that prostitution is illegal?
505,I am now...!
506,I like fun... ??  give me shout
507,:(
508,It's been so nice talking.
509,"Sure, what are you looking for?"
510,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?
511,Your daughter needs her dad around.
512,im sure we can figure something out ;)
513,what we doin tonight
514,hi! yes.
515,You don't want me to wear a mask right?
516,What does your center do?
517,i can . but what are you looking for? how long?
518,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?\n
519,"Back to comment, ""Yes I'm aware,"" Would you say that this is wrong, that because of the demand, women become victims."
520,Into believing it's the girl's idea and will to do what she's doing.
521,"I'm good, kinda bored. Can you change that ;)"
522,Hey man Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\nAre you aware that many of the girls who get involved in prostitution are minors?\n
523,Please look at www.slaadfw.org or www.valianthearts.org/conquerers/ for help. \n\nwww.ThinkTwiceTexas.com has great info to learn more about the exploitation of these girls.\n\nPlease see women as humans not objects for sale. You can do this. You are not alone.\n\nPlease see women as humans not objects for sale. You can do this.
